time_step,forecast_values,actual_values
336,6.455611505475683,6.95
337,6.413196947166919,6.45
338,6.4681740977835736,5.95
339,6.668856464573809,6.25
340,6.664137609804293,6.85
341,6.772398095569813,7.05
342,7.360625712382598,7.95
343,8.10993963176603,8.55
344,8.811383968577305,8.65
345,9.28766248828871,8.65
346,9.589244350311413,9.25
347,9.412939424636786,9.05
348,8.636571639200547,8.55
349,8.192057164844236,7.85
350,7.864620310388146,7.95
351,7.654874826734753,8.25
352,7.538174870234041,8.65
353,7.1239471233122655,8.65
354,6.755647279724415,8.95
355,6.6580842068123225,9.05
356,6.804436338316205,8.85
357,6.96629464584096,8.85
358,7.056931116971393,8.95
359,6.99960909160534,9.05
360,6.647192740017121,9.25
361,6.583319512590987,9.45
362,6.6303605505773575,9.75
363,6.828111373309717,10.05
364,6.822306658888471,10.25
365,6.930166122558237,10.15
366,7.5182470811701325,10.05
367,8.26750762887741,9.95
368,8.968932528156628,10.85
369,9.445204515379947,12.35
370,9.746784466436443,12.75
371,9.570477973885836,12.95
372,8.794107959646821,12.45
373,8.349593975580309,10.25
374,8.02215762539366,9.25
375,7.812413037990525,9.05
376,7.695714020199538,9.15
377,7.281487205675618,9.05
378,6.913185040442147,8.75
379,6.815622392997242,8.65
380,6.961976067909697,8.15
381,7.12383585124808,8.25
382,7.214474109079951,8.55
383,7.157152770358913,7.75
384,6.804736672038231,6.45
385,6.7408635382702915,5.55
386,6.787904610894502,5.05
387,6.985655446421837,5.25
388,6.979850736739918,4.75
389,7.087710202159979,4.35
390,7.6757911614119765,4.95
391,8.4250517093522,6.55
392,9.126476608716255,8.05
393,9.602748595968086,8.65
394,9.904328547032922,8.95
395,9.728022054489156,8.45
396,8.951652040259868,7.05
397,8.507138056191215,5.75
398,8.179701706002366,4.75
399,7.9699571185953175,3.85
400,7.853258100800234,3.55
401,7.439031286272245,2.75
402,7.070729121048907,2.45
403,6.973166473602145,2.55
404,7.119520148507865,2.35
405,7.281379931839806,2.25
406,7.372018189663879,2.55
407,7.3146968509398445,2.25
408,6.962280752618057,2.15
409,6.898407618849707,2.15
410,6.945448691473767,1.95
411,7.1431995270010455,1.65
412,7.137394817319106,1.95
413,7.245254282739159,1.95
414,7.833335241991155,2.85
415,8.582595789931377,4.95
416,9.284020689295433,6.35
417,9.760292676547264,7.25
418,10.061872627612102,8.95
419,9.885566135068334,8.55
420,9.109196120839046,6.55
421,8.664682136770393,4.75
422,8.337245786581544,3.65
423,8.127501199174496,3.95
424,8.010802181379413,2.95
425,7.5965753668514235,2.45
426,7.2282732016280855,2.05
427,7.1307105541813245,1.65
428,7.277064229087044,1.75
429,7.438924012418984,2.05
430,7.529562270243058,1.95
431,7.472240931519022,2.05
